"","year","exporter","importer","product","value","quantity","description"
"224",2022,"Denmark","Malta","010391",14.61,0.102,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"225",2022,"Denmark","Malta","010392",2.33,0.318,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"226",2022,"Denmark","Mexico","010310",672.243,10.163,"Swine: live, pure-bred breeding animals"
"227",2022,"Denmark","Montenegro","010392",28.11,16.2,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"228",2022,"Denmark","Netherlands","010310",759.903,56.389,"Swine: live, pure-bred breeding animals"
"229",2022,"Denmark","Netherlands","010391",15993.627,8935.717,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"230",2022,"Denmark","Netherlands","010392",35.472,13.875,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"231",2022,"Denmark","North Macedonia","010310",114.23,6.973,"Swine: live, pure-bred breeding animals"
"232",2022,"Denmark","North Macedonia","010391",97.051,36.76,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"233",2022,"Denmark","North Macedonia","010392",52.747,8.015,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"234",2022,"Denmark","Norway","010391",0.159,0.017,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"235",2022,"Denmark","Other Asia, nes","010310",15.018,2.7,"Swine: live, pure-bred breeding animals"
"236",2022,"Denmark","Philippines","010310",2749.533,80.765,"Swine: live, pure-bred breeding animals"
"237",2022,"Denmark","Poland","010310",4055.134,1035.15,"Swine: live, pure-bred breeding animals"
"238",2022,"Denmark","Poland","010391",340951.234,177126.067,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"239",2022,"Denmark","Poland","010392",15806.966,10412.469,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"240",2022,"Denmark","Portugal","010310",4.288,0.147,"Swine: live, pure-bred breeding animals"
"241",2022,"Denmark","Portugal","010391",109.963,16.21,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"242",2022,"Denmark","Portugal","010392",1.561,0.212,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"243",2022,"Denmark","Rep. of Korea","010310",481.203,12.117,"Swine: live, pure-bred breeding animals"
"244",2022,"Denmark","Rep. of Korea","010391",63.501,17.831,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"245",2022,"Denmark","Rep. of Korea","010392",177.347,11.426,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"246",2022,"Denmark","Rep. of Moldova","010310",285.28,32.514,"Swine: live, pure-bred breeding animals"
"247",2022,"Denmark","Romania","010310",1896.448,325.53,"Swine: live, pure-bred breeding animals"
"248",2022,"Denmark","Romania","010391",8615.627,3708.834,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
"249",2022,"Denmark","Romania","010392",782.676,355.782,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more"
"250",2022,"Denmark","Russian Federation","010310",188.434,13.302,"Swine: live, pure-bred breeding animals"
"251",2022,"Denmark","Serbia","010310",41.623,2.777,"Swine: live, pure-bred breeding animals"
"252",2022,"Denmark","Serbia","010391",8240.297,3522.021,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg"
