"exporter","importer","no_exported_animals","exporter_herd_size","rate_exp_to_imp","rel_p_exp_to_imp"
"Hungary","Greece",5.3543799086758,2802400,1.91064084665851e-06,0.00256332285851885
"Hungary","Italy",159.351086149163,2802400,5.686236302782e-05,0.0762867574999876
"Hungary","Latvia",0.0636103500761035,2802400,2.26985262903595e-08,3.04524272034309e-05
"Hungary","Netherlands",209.86918021309,2802400,7.48890880006744e-05,0.100471478698617
"Hungary","North Macedonia",2.41080669710807,2802400,8.60265021805619e-07,0.0011541347494141
"Hungary","Other",74.7348106544901,2802400,2.66681453948366e-05,0.0357780829424019
"Hungary","Poland",37.8815573820396,2802400,1.35175411725805e-05,0.0181351834591226
"Hungary","Romania",1095.31013181126,2802400,0.000390847178065681,0.524362026215183
"Hungary","Serbia",46.0092846270929,2802400,1.64178149540012e-05,0.0220262015397212
"Hungary","Slovakia",71.0319911719939,2802400,2.53468424107886e-05,0.0340054179499399
"Hungary","Slovenia",4.6125796042618,2802400,1.6459390537617e-06,0.00220819794971668
"Hungary","Spain",36.5809208523592,2802400,1.30534259393232e-05,0.017512524737848
"Ireland","Belarus",0.0141552511415525,1473750,9.60492019783037e-09,1.64616421763653e-05
"Ireland","Belgium",0.302713546423135,1473750,2.05403593840974e-07,0.000352036289100391
"Ireland","Bulgaria",0.00592846270928463,1473750,4.02270582479025e-09,6.89441895451e-06
"Ireland","Croatia",0.0235360730593607,1473750,1.59701937637732e-08,2.73709317528573e-05
"Ireland","Czechia",0.0346922374429224,1473750,2.35401102242052e-08,4.03448298706946e-05
"Ireland","Denmark",13.1016828006088,1473750,8.8900307383266e-06,0.0152364102914961
"Ireland","Estonia",0.262366818873668,1473750,1.78026679473227e-07,0.000305115652704406
"Ireland","France",0.172379604261796,1473750,1.16966652594942e-07,0.000200466338285675
"Ireland","Germany",0.422297716894977,1473750,2.86546372787092e-07,0.000491104950233946
"Ireland","Italy",0.376832876712329,1473750,2.55696608456203e-07,0.000438232279646322
"Ireland","Lithuania",0.0304511415525114,1473750,2.0662352198481e-08,3.54127094663694e-05
"Ireland","Netherlands",6.94894429223744,1473750,4.71514455792193e-06,0.00808117307834377
"Ireland","Other",1.48630502283105,1473750,1.00851909946127e-06,0.00172847667668408
"Ireland","Portugal",0.00151232876712329,1473750,1.02617728049078e-09,1.75874060929426e-06
"Ireland","Romania",0.0337022831050228,1473750,2.28683854826279e-08,3.91935769597798e-05
"Ireland","Slovakia",1.82648401826484e-05,1473750,1.23934454165553e-11,2.1240828614665e-08
"Ireland","Spain",1.28780639269406,1473750,8.73829613363233e-07,0.00149763559946563
"Ireland","Ukraine",0.10683105022831,1473750,7.24892622414321e-08,0.000124237606567175
"Ireland","United Kingdom",835.280859969559,1473750,0.000566772424067555,0.971377653146854
"Italy","Austria",0.185517503805175,7820490,2.3721979544143e-08,0.00554549160791066
"Italy","France",0.440316590563166,7820490,5.63029414478077e-08,0.0131619491838147
"Italy","Germany",0.469522374429224,7820490,6.00374624133812e-08,0.0140349688504752
"Italy","Greece",0.182283105022831,7820490,2.33083994766097e-08,0.00544880891794217
"Italy","Hungary",0.0395738203957382,7820490,5.06027376746703e-09,0.00118294114784984
"Italy","Luxembourg",0.0367123287671233,7820490,4.69437704889633e-09,0.001097405403313
"Italy","Malta",0.000252054794520548,7820490,3.22300513804823e-11,7.53442515707434e-06
"Italy","Netherlands",27.5262757990868,7820490,3.51976356968512e-06,0.82281578993848
"Italy","Other",0.0387926940639269,7820490,4.96039174833379e-09,0.00115959170950074
"Italy","Spain",4.53450624048706,7820490,5.79823801384192e-07,0.135545518815557
"Latvia","Denmark",70.3812785388128,300060,0.000234557350325977,0.134778542734377
"Latvia","Estonia",0.527701674277017,300060,1.75865385015336e-06,0.00101053666733726
"Latvia","Lithuania",239.664132420091,300060,0.000798720697260852,0.458951345924548
"Latvia","Netherlands",3.18211141552511,300060,1.06049170683367e-05,0.00609367076453985
"Latvia","Poland",208.444208523592,300060,0.000694675093393295,0.399165903909199
"Lithuania","Hungary",0.319954337899543,496790,6.44043434649537e-07,0.000633550097401162
"Lithuania","Latvia",176.809657534247,496790,0.000355904220161933,0.350105507203526
"Lithuania","Netherlands",2.96318295281583,496790,5.9646590165177e-06,0.00586747740536451
"Lithuania","Poland",324.923515372907,496790,0.000654046006105008,0.64338969792954
"Lithuania","Romania",0.00190258751902588,496790,3.82976211080311e-09,3.76736416798179e-06
"Luxembourg","Belgium",24.3922943683409,64810,0.000376366214601774,0.0440166489152005
"Luxembourg","France",1.5220700152207e-05,64810,2.34851105573322e-10,2.74662237478074e-08
"Luxembourg","Germany",47.7258219178082,64810,0.000736395956145783,0.0861227203896042
"Luxembourg","Hungary",0.466073059360731,64810,7.19137570376069e-06,0.00084104323738161
"Luxembourg","Italy",128.940159817352,64810,0.00198951025794401,0.232676502671127
"Luxembourg","Netherlands",27.7627936073059,64810,0.00042837206615192,0.0500988189411177
"Luxembourg","Other",2.87768401826484,64810,4.44018518479377e-05,0.00519286973205965
"Luxembourg","Romania",0.0325649923896499,64810,5.02468637396234e-07,5.87645350329088e-05
"Luxembourg","Spain",321.963233789954,64810,0.0049678017866063,0.580992604112252
"Malta","Italy",0.149010654490107,37210,4.00458625342936e-06,0.078487964243481
"Malta","Netherlands",0.0177549467275495,37210,4.77155246642017e-07,0.00935201330848015
"Malta","Romania",1.7317503805175,37210,4.65399188529294e-05,0.912160022448039
"Netherlands","Albania",10.2788432267884,10192000,1.00852072476339e-06,0.00061683334637086
